0.2.1.3.0.0.0.4.1;0.2.1.3.0.0.0.4.1.5;700 / 700;0
0.2.1.3.0.0.0.4.1;0.2.1.3.0.0.0.4.1.6;700 / 700;0
0.2.1.3.0.0.0.4.1;0.2.1.3.0.0.0.4.1.7;1000 / 1000;0
0.2.1.3.0.0.0.4.2;0.2.1.3.0.0.0.4.2.0;800 / 800;0
0.2.1.3.0.0.0.4.2;0.2.1.3.0.0.0.4.2.1;700 / 700;0
0.2.1.3.0.0.0.4.2;0.2.1.3.0.0.0.4.2.2;800 / 800;0
0.2.1.3.0.0.0.4.2;0.2.1.3.0.0.0.4.2.3;600 / 600;0
0.2.1.3.0.0.0.4.2;0.2.1.3.0.0.0.4.2.4;700 / 700;0
0.2.1.3.0.0.0.4.2;0.2.1.3.0.0.0.4.2.5;700 / 700;0
0.2.1.3.0.0.0.4.2;0.2.1.3.0.0.0.4.2.6;800 / 800;0
0.2.1.3.0.0.0.4.2;0.2.1.3.0.0.0.4.2.7;1000 / 1000;0
0.2.1.3.0.0.0.4.3;0.2.1.3.0.0.0.4.3.0;900 / 900;0
0.2.1.3.0.0.0.4.3;0.2.1.3.0.0.0.4.3.1;700 / 700;0
0.2.1.3.0.0.0.4.3;0.2.1.3.0.0.0.4.3.2;500 / 500;0
0.2.1.3.0.0.0.4.3;0.2.1.3.0.0.0.4.3.3;600 / 600;0
0.2.1.3.0.0.0.4.3;0.2.1.3.0.0.0.4.3.4;900 / 900;0
0.2.1.3.0.0.0.4.3;0.2.1.3.0.0.0.4.3.5;900 / 900;0
0.2.1.3.0.0.0.4.3;0.2.1.3.0.0.0.4.3.6;300 / 300;0
0.2.1.3.0.0.0.4.3;0.2.1.3.0.0.0.4.3.7;1300 / 1300;0
0.2.1.3.0.0.0.4.4;0.2.1.3.0.0.0.4.4.0;700 / 700;0
0.2.1.3.0.0.0.4.4;0.2.1.3.0.0.0.4.4.1;1100 / 1100;0
0.2.1.3.0.0.0.4.4;0.2.1.3.0.0.0.4.4.2;800 / 800;0
0.2.1.3.0.0.0.4.4;0.2.1.3.0.0.0.4.4.3;600 / 600;0
0.2.1.3.0.0.0.4.4;0.2.1.3.0.0.0.4.4.4;700 / 700;0
0.2.1.3.0.0.0.4.4;0.2.1.3.0.0.0.4.4.5;900 / 900;0
0.2.1.3.0.0.0.4.4;0.2.1.3.0.0.0.4.4.6;600 / 600;0
0.2.1.3.0.0.0.4.4;0.2.1.3.0.0.0.4.4.7;700 / 700;0
0.2.1.3.0.0.0.5.0;0.2.1.3.0.0.0.5.0.0;700 / 700;0
0.2.1.3.0.0.0.5.0;0.2.1.3.0.0.0.5.0.1;700 / 700;0
0.2.1.3.0.0.0.5.0;0.2.1.3.0.0.0.5.0.2;1600 / 1600;0
